start_year,end_year,rebalance_interval,end_balance
2007,2016,0,375000.0
2007,2016,0,356654.73391328653
2007,2016,0,356654.73391328653
2007,2016,0,356654.73391328653
2007,2016,3,356654.73391328653
2007,2016,0,356654.73391328653
2007,2016,4,356654.73391328653
2007,2016,0,356654.73391328653
2007,2016,6,356654.73391328653
2007,2016,0,356654.73391328653
2007,2016,12,356654.73391328653
2007,2016,1,356654.7339132864
2007,2016,2,356654.7339132864
